,Name of movie,Year of relase,Watchtime,Movie Rating,Metascore,Votes,Gross collection,Description,Director,Star
48,Palmer,2021,110,7.2,53,"36,540",*****,An ex-convict strikes up a friendship with a boy from a troubled home.,Fisher Stevens,"['Justin Timberlake', 'Juno Temple', 'Alisha Wainwright', 'Ryder Allen']"
49,Ronin,1998,122,7.2,67,"1,86,289",$41.62M,A freelancing former U.S. Intelligence Agent tries to track down a mysterious package that is wanted by the Irish and the Russians.,John Frankenheimer,"['Robert De Niro', 'Jean Reno', 'Natascha McElhone', 'Stellan Skarsgård']"
0,Top Secret!,1984,90,7.2,68,"68,645",$20.50M,An American rock and roll singer becomes involved in a Resistance plot to rescue a scientist imprisoned in East Germany.,"Directors:Jim Abrahams, David Zucker, Jerry Zucker","['Val Kilmer', 'Omar Sharif', 'Jeremy Kemp', 'Warren Clarke']"
1,A Dog's Purpose,2017,100,7.2,43,"74,020",$64.51M,A dog looks to discover his purpose in life over the course of several lifetimes and owners.,Lasse Hallström,"['Josh Gad', 'Dennis Quaid', 'Peggy Lipton', 'Bryce Gheisar']"
2,The Book of Life,2014,95,7.2,67,"73,085",$50.15M,"Manolo, a young man who is torn between fulfilling the expectations of his family and following his heart, embarks on an adventure that spans three fantastic worlds where he must face his greatest fears.",Jorge R. Gutiérrez,"['Diego Luna', 'Zoe Saldana', 'Channing Tatum', 'Ron Perlman']"
3,The Darjeeling Limited,2007,91,7.2,67,"2,03,015",$11.90M,"A year after their father's funeral, three brothers travel across India by train in an attempt to bond with each other.",Wes Anderson,"['Owen Wilson', 'Adrien Brody', 'Jason Schwartzman', 'Amara Karan']"
4,Rise of the Guardians,2012,97,7.2,58,"1,79,540",$103.41M,"When the evil spirit Pitch launches an assault on Earth, the Immortal Guardians team up to protect the innocence of children all around the world.",Peter Ramsey,"['Hugh Jackman', 'Alec Baldwin', 'Isla Fisher', 'Chris Pine']"
5,The Doors,1991,140,7.2,62,"94,319",$35.18M,"The story of the famous and influential 1960s rock band The Doors and its lead singer and composer, Jim Morrison, from his days as a UCLA film student in Los Angeles, to his untimely death in Paris, France at age 27 in 1971.",Oliver Stone,"['Val Kilmer', 'Meg Ryan', 'Kyle MacLachlan', 'Frank Whaley']"
6,Men of Honor,2000,129,7.2,56,"1,18,879",$48.82M,"The story of Carl Brashear, the first African-American U.S. Navy Diver, and the man who trained him.",George Tillman Jr.,"['Cuba Gooding Jr.', 'Robert De Niro', 'Charlize Theron', 'Aunjanue Ellis']"
7,Angel Heart,1987,113,7.2,61,"90,156",$17.19M,A private investigator is hired by a man who calls himself Louis Cyphre to track down a singer named Johnny Favorite. But the investigation takes an unexpected and somber turn.,Alan Parker,"['Mickey Rourke', 'Robert De Niro', 'Lisa Bonet', 'Charlotte Rampling']"
8,Fences,2016,139,7.2,79,"1,10,381",$57.68M,"A working-class African-American father tries to raise his family in the 1950s, while coming to terms with the events of his life.",Denzel Washington,"['Denzel Washington', 'Viola Davis', 'Stephen McKinley Henderson', 'Jovan Adepo']"
9,The Witcher: Nightmare of the Wolf,2021,83,7.2,67,"45,925",*****,"Escaping from poverty to become a witcher, Vesemir slays monsters for coin and glory, but when a new menace rises, he must face the demons of his past.",Kwang Il Han,"['Theo James', 'Mary McDonnell', 'Lara Pulver', 'Graham McTavish']"
10,Cube,1997,90,7.2,61,"2,34,396",$0.50M,Six complete strangers with widely varying personalities are involuntarily placed in an endless maze containing deadly traps.,Vincenzo Natali,"['Nicole de Boer', 'Maurice Dean Wint', 'David Hewlett', 'Andrew Miller']"
11,Friday Night Lights,2004,118,7.2,70,"64,214",$61.26M,"Based on H.G. Bissinger's book, which profiled the economically depressed town of Odessa, Texas and their heroic high school football team, The Permian High Panthers.",Peter Berg,"['Billy Bob Thornton', 'Jay Hernandez', 'Derek Luke', 'Lucas Black']"
12,Lethal Weapon 2,1989,114,7.2,70,"1,79,115",$147.25M,Riggs and Murtaugh are on the trail of South African diplomats who are using their immunity to engage in criminal activities.,Richard Donner,"['Mel Gibson', 'Danny Glover', 'Joe Pesci', 'Patsy Kensit']"
13,Dope,2015,103,7.2,72,"86,587",$17.47M,"Life changes for Malcolm, a geek who's surviving life in a tough neighborhood, after a chance invitation to an underground party leads him and his friends into a Los Angeles adventure.",Rick Famuyiwa,"['Shameik Moore', 'Tony Revolori', 'Kiersey Clemons', 'Kimberly Elise']"
14,Swingers,1996,96,7.2,71,"84,270",$4.51M,"A wannabe actor has a hard time moving on from a break-up, but he is lucky to have supportive friends.",Doug Liman,"['Vince Vaughn', 'Heather Graham', 'Jon Favreau', 'Ron Livingston']"
15,The Full Monty,1997,91,7.2,75,"1,08,169",$45.95M,"Six unemployed steel workers form a male striptease act. The women cheer them on to go for ""the full monty"" - total nudity.",Peter Cattaneo,"['Robert Carlyle', 'Tom Wilkinson', 'Mark Addy', 'Wim Snape']"
16,Go,1999,102,7.2,72,"72,448",$16.84M,The aftermath of a drug deal as told from three different points of view.,Doug Liman,"['Sarah Polley', 'Jay Mohr', 'Scott Wolf', 'Taye Diggs']"
17,Star Trek VI: The Undiscovered Country,1991,110,7.2,65,"77,122",$74.89M,"On the eve of retirement, Kirk and McCoy are charged with assassinating the Klingon High Chancellor and imprisoned. The Enterprise crew must help them escape to thwart a conspiracy aimed at sabotaging the last best hope for peace.",Nicholas Meyer,"['William Shatner', 'Leonard Nimoy', 'DeForest Kelley', 'James Doohan']"
18,Silverado,1985,133,7.2,64,"45,486",$33.20M,A misfit bunch of friends comes together to right the injustices which exist in a small town.,Lawrence Kasdan,"['Kevin Kline', 'Scott Glenn', 'Kevin Costner', 'Danny Glover']"
19,T2 Trainspotting,2017,117,7.2,67,"1,26,107",$2.40M,"After 20 years abroad, Mark Renton returns to Scotland and reunites with his old friends Sick Boy, Spud, and Begbie.",Danny Boyle,"['Ewan McGregor', 'Ewen Bremner', 'Jonny Lee Miller', 'Robert Carlyle']"
20,Mean Streets,1973,112,7.2,96,"1,11,368",$3.13M,A small-time hood tries to keep the peace between his friend Johnny and Johnny's creditors.,Martin Scorsese,"['Robert De Niro', 'Harvey Keitel', 'David Proval', 'Amy Robinson']"
21,Team America: World Police,2004,98,7.2,64,"1,71,471",$32.79M,"Popular Broadway actor Gary Johnston is recruited by the elite counter-terrorism organization Team America: World Police. As the world begins to crumble around him, he must battle with terrorists, celebrities and falling in love.",Trey Parker,"['Trey Parker', 'Matt Stone', 'Elle Russ', 'Kristen Miller']"
22,War Horse,2011,146,7.2,72,"1,59,579",$79.88M,Young Albert enlists to serve in World War I after his beloved horse is sold to the cavalry. Albert's hopeful journey takes him out of England and to the front lines as the war rages on.,Steven Spielberg,"['Jeremy Irvine', 'Emily Watson', 'David Thewlis', 'Benedict Cumberbatch']"
23,Only Lovers Left Alive,2013,123,7.2,79,"1,02,484",$1.88M,"A depressed musician reunites with his lover. Though their romance, which has already endured several centuries, is disrupted by the arrival of her uncontrollable younger sister.",Jim Jarmusch,"['Tilda Swinton', 'Tom Hiddleston', 'Mia Wasikowska', 'John Hurt']"
24,Bitter Moon,1992,139,7.2,62,"40,024",$1.86M,"After hearing stories of her, a passenger on a cruise ship develops an irresistible infatuation with an eccentric paraplegic's wife.",Roman Polanski,"['Hugh Grant', 'Kristin Scott Thomas', 'Emmanuelle Seigner', 'Peter Coyote']"
25,St. Vincent,2014,102,7.2,64,"1,04,897",$44.13M,"A young boy whose parents have just divorced finds an unlikely friend and mentor in the misanthropic, bawdy, hedonistic war veteran who lives next door.",Theodore Melfi,"['Bill Murray', 'Melissa McCarthy', 'Naomi Watts', 'Jaeden Martell']"
26,Videodrome,1983,87,7.2,60,"95,625",$2.12M,A programmer at a TV station that specializes in adult entertainment searches for the producers of a dangerous and bizarre broadcast.,David Cronenberg,"['James Woods', 'Debbie Harry', 'Sonja Smits', 'Peter Dvorsky']"
27,Michael Clayton,2007,119,7.2,82,"1,68,019",$49.03M,"A law firm brings in its ""fixer"" to remedy the situation after a lawyer has a breakdown while representing a chemical company that he knows is guilty in a multibillion-dollar class action suit.",Tony Gilroy,"['George Clooney', 'Tilda Swinton', 'Tom Wilkinson', ""Michael O'Keefe""]"
28,The Italian Job,1969,99,7.2,70,"47,247",*****,Comic caper movie about a plan to steal a gold shipment from the streets of Turin by creating a traffic jam.,Peter Collinson,"['Michael Caine', 'Noël Coward', 'Benny Hill', 'Raf Vallone']"
29,Steve Jobs,2015,122,7.2,82,"1,71,312",$17.77M,"Steve Jobs takes us behind the scenes of the digital revolution, to paint a portrait of the man at its epicenter. The story unfolds backstage at three iconic product launches, ending in 1998 with the unveiling of the iMac.",Danny Boyle,"['Michael Fassbender', 'Kate Winslet', 'Seth Rogen', 'Jeff Daniels']"
30,The Light Between Oceans,2016,133,7.2,60,"57,721",$12.55M,A lighthouse keeper and his wife living off the coast of Western Australia raise a baby they rescue from a drifting rowing boat.,Derek Cianfrance,"['Michael Fassbender', 'Alicia Vikander', 'Rachel Weisz', 'Florence Clery']"
31,In the Valley of Elah,2007,121,7.2,65,"73,508",$6.78M,A retired military investigator works with a police detective to uncover the truth behind his son's disappearance following his return from a tour of duty in Iraq.,Paul Haggis,"['Tommy Lee Jones', 'Charlize Theron', 'Jonathan Tucker', 'Jason Patric']"
32,The Report,I 2019,119,7.2,66,"44,941",*****,"Idealistic Senate staffer Daniel J. Jones, tasked by his boss to lead an investigation into the CIA's post 9/11 Detention and Interrogation Program, uncovers shocking secrets.",Scott Z. Burns,"['Adam Driver', 'Annette Bening', 'Jon Hamm', 'Ted Levine']"
33,The Ghost Writer,2010,128,7.2,77,"1,65,812",$15.54M,"A ghost writer, hired to complete the memoirs of a former British Prime Minister, uncovers secrets that put his own life in jeopardy.",Roman Polanski,"['Ewan McGregor', 'Pierce Brosnan', 'Olivia Williams', 'Jon Bernthal']"
34,Born on the Fourth of July,1989,145,7.2,75,"1,08,653",$70.00M,"The biography of Ron Kovic. Paralyzed in the Vietnam war, he becomes an anti-war and pro-human rights political activist after feeling betrayed by the country for which he fought.",Oliver Stone,"['Tom Cruise', 'Bryan Larkin', 'Raymond J. Barry', 'Caroline Kava']"
35,The Professor and the Madman,2019,124,7.2,27,"47,224",*****,"Professor James Murray begins work compiling words for the first edition of the Oxford English Dictionary in the mid-19th century, and receives over 10,000 entries from a patient at Broadmoor Criminal Lunatic Asylum, Dr. William Minor.",Farhad Safinia,"['Mel Gibson', 'Sean Penn', 'Eddie Marsan', 'Natalie Dormer']"
36,Don't Look Now,1973,110,7.2,95,"57,602",$0.98M,"A married couple grieving the recent death of their young daughter are in Venice when they encounter two elderly sisters, one of whom is psychic and brings a warning from beyond.",Nicolas Roeg,"['Julie Christie', 'Donald Sutherland', 'Hilary Mason', 'Clelia Matania']"
37,Spirit: Stallion of the Cimarron,2002,83,7.2,52,"78,100",$73.28M,"A wild stallion is captured by humans and slowly loses the will to resist training, yet, throughout his struggles for freedom, the stallion refuses to let go of the hope of one day returning home to his herd.","Directors:Kelly Asbury, Lorna Cook","['Matt Damon', 'James Cromwell', 'Daniel Studi', 'Chopper Bernet']"
38,Sleeping Beauty,1959,75,7.2,85,"1,51,539",$51.60M,"After being snubbed by the royal family, a malevolent fairy places a curse on a princess which only a prince can break, along with the help of three good fairies.","Directors:Les Clark, Clyde Geronimi, Eric Larson, Wolfgang Reitherman, Hamilton Luske","['Mary Costa', 'Bill Shirley', 'Eleanor Audley', 'Verna Felton']"
39,Christopher Robin,2018,104,7.2,60,"79,396",$99.22M,"A working-class family man, Christopher Robin, encounters his childhood friend Winnie-the-Pooh, who helps him to rediscover the joys of life.",Marc Forster,"['Ewan McGregor', 'Hayley Atwell', 'Bronte Carmichael', 'Mark Gatiss']"
40,The Fox and the Hound,1981,83,7.2,65,"95,258",$63.46M,"A little fox named Tod, and Copper, a hound puppy, vow to be best buddies forever. But as Copper grows into a hunting dog, their unlikely friendship faces the ultimate test.","Directors:Ted Berman, Richard Rich, Art Stevens, David Hand, Wolfgang Reitherman","['Mickey Rooney', 'Kurt Russell', 'Pearl Bailey', 'Jack Albertson']"
41,Honey Boy,2019,94,7.2,73,"38,414",*****,A young actor's stormy childhood and early adult years as he struggles to reconcile with his father and deal with his mental health.,Alma Har'el,"['Shia LaBeouf', 'Lucas Hedges', 'Noah Jupe', 'Byron Bowers']"
