,Name of movie,Year of relase,Watchtime,Movie Rating,Metascore,Votes,Gross collection,Description,Director,Star
28,House on Haunted Hill,1999,93,5.6,28,"57,852",$40.85M,"An amusement park mogul offers a group of diverse people $1,000,000 to spend the night in a haunted house with a horrifying past.",William Malone,"['Geoffrey Rush', 'Famke Janssen', 'Taye Diggs', 'Peter Gallagher']"
29,47 Meters Down,2017,89,5.6,52,"56,606",$44.31M,"Two sisters vacationing in Mexico are trapped in a shark cage at the bottom of the ocean. With less than an hour of oxygen left and great white sharks circling nearby, they must fight to survive.",Johannes Roberts,"['Mandy Moore', 'Claire Holt', 'Matthew Modine', 'Chris Johnson']"
30,Dumb and Dumber To,2014,109,5.6,36,"1,39,354",$86.21M,"20 years since their first adventure, Lloyd and Harry go on a road trip to find Harry's newly discovered daughter, who was given up for adoption.","Directors:Bobby Farrelly, Peter Farrelly","['Jim Carrey', 'Jeff Daniels', 'Rob Riggle', 'Laurie Holden']"
31,Wanderlust,2012,98,5.6,53,"78,229",$17.23M,"Rattled by sudden unemployment, a Manhattan couple surveys alternative living options, ultimately deciding to experiment with living on a rural commune where free love rules.",David Wain,"['Jennifer Aniston', 'Paul Rudd', 'Malin Akerman', 'Justin Theroux']"
32,Dennis the Menace,1993,94,5.6,49,"62,385",$51.27M,"When his parents must go out of town on business, Dennis stays with Mr. and Mrs. Wilson. He is driving Mr. Wilson crazy, but he is just trying to be helpful, even to the thief who has arrived in town.",Nick Castle,"['Walter Matthau', 'Mason Gamble', 'Joan Plowright', 'Christopher Lloyd']"
33,The Specialist,1994,110,5.6,^^^^^^,"67,150",$57.36M,A woman entices a bomb expert she's involved with into destroying the mafia that killed her family.,Luis Llosa,"['Sylvester Stallone', 'Sharon Stone', 'James Woods', 'Rod Steiger']"
34,A Bad Moms Christmas,2017,104,5.6,42,"54,035",$72.11M,"As their own mothers drop in unexpectedly, our three under-appreciated and over-burdened moms rebel against the challenges and expectations of the Super Bowl for mothers: Christmas.","Directors:Jon Lucas, Scott Moore","['Mila Kunis', 'Kristen Bell', 'Kathryn Hahn', 'Jay Hernandez']"
35,Timeline,2003,116,5.6,28,"63,955",$19.48M,A group of archaeologists become trapped in the past when they go there to retrieve a friend. The group must survive in 14th-century France before they can escape back to the twenty-first century.,Richard Donner,"['Paul Walker', 'Gerard Butler', 'Billy Connolly', ""Frances O'Connor""]"
36,The Nutcracker and the Four Realms,2018,99,5.6,39,"34,906",$54.86M,A young girl is transported into a magical world of gingerbread soldiers and an army of mice.,"Directors:Lasse Hallström, Joe Johnston","['Mackenzie Foy', 'Keira Knightley', 'Morgan Freeman', 'Helen Mirren']"
37,Jawbreaker,1999,86,5.6,22,"27,160",$3.07M,Three of the most popular girls at Reagan High accidentally kill the prom queen with a jawbreaker when a kidnapping goes horribly wrong.,Darren Stein,"['Rose McGowan', 'Rebecca Gayheart', 'Julie Benz', 'Alexandra Adi']"
38,Ice Age: Collision Course,2016,94,5.6,34,"68,597",$64.06M,"When Scrat's acorn sends an asteroid to Earth, the Herd must find a way to stop the asteroid from hitting Earth with the help of a returning friend.","Directors:Michael Thurmeier, Galen T. Chu","['Ray Romano', 'Denis Leary', 'John Leguizamo', 'Chris Wedge']"
39,Mirror Mirror,I 2012,106,5.6,46,"88,680",$64.94M,An evil queen steals control of a kingdom and an exiled princess enlists the help of seven resourceful rebels to win back her birthright.,Tarsem Singh,"['Lily Collins', 'Julia Roberts', 'Armie Hammer', 'Nathan Lane']"
40,Children of the Corn,1984,92,5.6,45,"53,763",$14.57M,A young couple is trapped in a remote town where a dangerous religious cult of children believes that everyone over age 18 must be killed.,Fritz Kiersch,"['Peter Horton', 'Linda Hamilton', 'R.G. Armstrong', 'John Franklin']"
41,Machete Kills,2013,107,5.6,41,"79,990",$8.01M,The U.S. government recruits Machete to battle his way through Mexico in order to take down an arms dealer who looks to launch a weapon into space.,Robert Rodriguez,"['Danny Trejo', 'Alexa PenaVega', 'Mel Gibson', 'Jessica Alba']"
42,Unfriended,2014,83,5.6,59,"77,208",$32.48M,"A group of online chatroom friends find themselves haunted by a mysterious, supernatural force using the account of their dead friend.",Levan Gabriadze,"['Heather Sossaman', 'Matthew Bohrer', 'Courtney Halverson', 'Shelley Hennig']"
43,Club Dread,2004,104,5.6,45,"30,407",$4.99M,When a serial killer interrupts the fun at the swanky Coconut Pete's Coconut Beach Resort--a hedonistic island paradise for swingers--it's up to the club's staff to stop the violence...or at least hide it.,Jay Chandrasekhar,"['Jay Chandrasekhar', 'Bill Paxton', 'Kevin Heffernan', 'Elena Lyons']"
44,Jay and Silent Bob Reboot,2019,105,5.6,46,"26,526",*****,Jay and Silent Bob inadvertently sign away their names and rights to the new Bluntman and Chronic movie. Now they head to Hollywood to stop the film from being made. Along the way Jay discovers that he is a father.,Kevin Smith,"['Joey Lauren Adams', 'Ben Affleck', 'Fred Armisen', 'Diedrich Bader']"
45,The Black Dahlia,2006,121,5.6,49,"74,996",$22.52M,"Two policemen see their personal and professional lives fall apart in the wake of the ""Black Dahlia"" Elizabeth Short murder investigation.",Brian De Palma,"['Josh Hartnett', 'Aaron Eckhart', 'Scarlett Johansson', 'Hilary Swank']"
46,Judge Dredd,1995,96,5.6,^^^^^^,"1,19,872",$34.69M,"In a dystopian future, Joseph Dredd, the most famous Judge (a police officer with instant field judiciary powers), is convicted for a crime he did not commit and must face his murderous counterpart.",Danny Cannon,"['Sylvester Stallone', 'Armand Assante', 'Rob Schneider', 'Jürgen Prochnow']"
47,Life of the Party,I 2018,105,5.6,46,"37,786",$53.06M,"After her husband abruptly asks for a divorce, a middle-aged mother returns to college in order to complete her degree.",Ben Falcone,"['Melissa McCarthy', 'Matt Walsh', 'Molly Gordon', 'Ben Falcone']"
48,Paranoia,I 2013,106,5.6,32,"38,235",$7.38M,"An entry-level employee at a powerful corporation finds himself occupying a corner office, but at a dangerous price: he must spy on his boss's old mentor to secure for him a multi-billion dollar advantage.",Robert Luketic,"['Liam Hemsworth', 'Gary Oldman', 'Harrison Ford', 'Amber Heard']"
49,4: Rise of the Silver Surfer,2007,92,5.6,45,"2,68,434",$131.92M,The Fantastic Four learn that they aren't the only super-powered beings in the universe when they square off against the powerful Silver Surfer and the planet-eating Galactus.,Tim Story,"['Ioan Gruffudd', 'Jessica Alba', 'Chris Evans', 'Michael Chiklis']"
0,The Texas Chainsaw Massacre 2,1986,101,5.6,42,"34,453",$8.03M,A radio host is victimized by the cannibal family as a former Texas Marshall hunts them.,Tobe Hooper,"['Dennis Hopper', 'Caroline Williams', 'Jim Siedow', 'Bill Moseley']"
1,Fist Fight,2017,91,5.6,37,"43,514",$32.19M,"When one school teacher unwittingly causes another teacher's dismissal, he is challenged to an after-school fight.",Richie Keen,"['Ice Cube', 'Charlie Day', 'Tracy Morgan', 'Christina Hendricks']"
2,The Box,I 2009,115,5.6,47,"92,917",$15.05M,"A small wooden box arrives on the doorstep of a married couple, who know that opening it will grant them a million dollars and kill someone they don't know.",Richard Kelly,"['Cameron Diaz', 'James Marsden', 'Frank Langella', 'James Rebhorn']"
3,Be Cool,2005,118,5.6,37,"70,433",$56.05M,"Disenchanted with the movie industry, Chili Palmer tries the music industry, meeting and romancing a widow of a music executive on the way.",F. Gary Gray,"['John Travolta', 'Uma Thurman', 'Dwayne Johnson', 'Vince Vaughn']"
4,Johnny Mnemonic,1995,103,5.6,36,"73,016",$19.08M,"A data courier, literally carrying a data package inside his head, must deliver it before he dies from the burden or is killed by the Yakuza.",Robert Longo,"['Keanu Reeves', 'Dolph Lundgren', 'Dina Meyer', 'Ice-T']"
5,40 Days and 40 Nights,2002,96,5.6,53,"74,206",$37.95M,"After a brutal break-up, a young man vows to stay celibate during the forty days of Lent, but finds the girl of his dreams and is unable to do anything about it.",Michael Lehmann,"['Josh Hartnett', 'Shannyn Sossamon', 'Paulo Costanzo', 'Adam Trese']"
6,Barnyard,2006,90,5.6,42,"32,062",$72.78M,"When the farmer's away, all the animals play, and sing, and dance. Eventually, though, someone has to step in and run things, a responsibility that ends up going to Otis, a carefree cow.",Steve Oedekerk,"['Kevin James', 'Courteney Cox', 'Danny Glover', 'Sam Elliott']"
7,Dark Water,2005,105,5.6,52,"63,666",$25.47M,"A mother and daughter, still wounded from a bitter custody dispute, hole up in a run-down apartment building, where they are targeted by the ghost of a former resident.",Walter Salles,"['Jennifer Connelly', 'Ariel Gade', 'John C. Reilly', 'Tim Roth']"
8,Urban Legend,1998,99,5.6,35,"67,985",$38.07M,A college student suspects a series of bizarre deaths are connected to certain urban legends.,Jamie Blanks,"['Jared Leto', 'Alicia Witt', 'Rebecca Gayheart', 'Michael Rosenbaum']"
9,Boomerang,1992,117,5.6,45,"30,039",$70.10M,A successful executive and womanizer finds his lifestyle choices have turned back on him when his new female boss turns out to be an even bigger deviant than he is.,Reginald Hudlin,"['Eddie Murphy', 'Robin Givens', 'Halle Berry', 'David Alan Grier']"
10,Runaway Bride,1999,116,5.6,39,"1,00,145",$152.26M,A reporter is assigned to write a story about a woman who has left a string of fiancés at the altar.,Garry Marshall,"['Julia Roberts', 'Richard Gere', 'Joan Cusack', 'Hector Elizondo']"
11,Mission to Mars,2000,114,5.6,34,"74,281",$60.88M,"When the first manned mission to Mars meets with a catastrophic and mysterious disaster after reporting an unidentified structure, a rescue mission is launched to investigate the tragedy and bring back any survivors.",Brian De Palma,"['Tim Robbins', 'Gary Sinise', 'Don Cheadle', 'Connie Nielsen']"
12,Curse of Chucky,2013,97,5.6,58,"40,753",$3.80M,"After her mother's mysterious death, Nica begins to suspect that the talking, red-haired doll her visiting niece has been playing with may be the key to recent bloodshed and chaos.",Don Mancini,"['Chantal Quesnelle', 'Fiona Dourif', 'Jordan Gavaris', 'Danielle Bisutti']"
13,The Bonfire of the Vanities,1990,125,5.6,27,"25,487",$15.69M,"After his mistress runs over a young teen, a Wall Street hotshot sees his life unravel in the spotlight and attracts the interest of a down-and-out reporter.",Brian De Palma,"['Tom Hanks', 'Bruce Willis', 'Melanie Griffith', 'Kim Cattrall']"
14,The House,I 2017,88,5.6,30,"45,207",$25.48M,"After the town takes away their daughter's college scholarship, a couple start an illegal casino in their friend's house to make back the money.",Andrew Jay Cohen,"['Will Ferrell', 'Amy Poehler', 'Ryan Simpkins', 'Jason Mantzoukas']"
15,Runner Runner,2013,88,5.6,36,"64,320",$19.32M,"When a poor college student who cracks an online poker game goes bust, he arranges a face-to-face with the man he thinks cheated him, a sly offshore entrepreneur.",Brad Furman,"['Ben Affleck', 'Justin Timberlake', 'Gemma Arterton', 'Anthony Mackie']"
16,Maggie,I 2015,95,5.6,52,"45,009",$0.19M,"A teenage girl in the Midwest becomes infected by an outbreak of a disease that slowly turns the infected into cannibalistic zombies. During her transformation, her loving father stays by her side.",Henry Hobson,"['Arnold Schwarzenegger', 'Abigail Breslin', 'Joely Richardson', 'Laura Cayouette']"
17,Mother's Day,I 2016,118,5.6,18,"37,786",$32.46M,Three generations come together in the week leading up to Mother's Day.,Garry Marshall,"['Jennifer Aniston', 'Kate Hudson', 'Julia Roberts', 'Jason Sudeikis']"
18,Poltergeist II: The Other Side,1986,91,5.6,49,"28,019",$41.00M,"The Freeling family have a new house, but their troubles with supernatural forces don't seem to be over.",Brian Gibson,"['JoBeth Williams', 'Craig T. Nelson', ""Heather O'Rourke"", 'Oliver Robins']"
19,The Pink Panther 2,2009,92,5.6,36,"46,057",$35.92M,Insp. Jacques Clouseau teams up with a squad of International detectives who are just as bumbling as he is. Their mission: Stop a globe-trotting thief who specializes in stealing historical artifacts.,Harald Zwart,"['Steve Martin', 'Jean Reno', 'Emily Mortimer', 'Andy Garcia']"
20,Win a Date with Tad Hamilton!,2004,96,5.6,52,"28,445",$17.07M,"A small-town girl wins a date with a male celebrity through a contest. When the date goes better than expected, a love triangle forms between the girl, the male celebrity, and the girl's best friend.",Robert Luketic,"['Kate Bosworth', 'Josh Duhamel', 'Topher Grace', 'Nathan Lane']"
21,Double Impact,1991,110,5.6,40,"41,770",$30.10M,Twin brothers are separated when their parents are murdered but 25 years later they re-unite in order to avenge their parents' death.,Sheldon Lettich,"['Jean-Claude Van Damme', 'Geoffrey Lewis', 'Alonna Shaw', 'Corinna Everson']"
22,The Sitter,2011,81,5.6,39,"71,344",$30.54M,"A college student on suspension is coaxed into babysitting the kids next door, though he is fully unprepared for the wild night ahead of him.",David Gordon Green,"['Jonah Hill', 'Ari Graynor', 'Sam Rockwell', 'Max Records']"
23,Village of the Damned,1995,98,5.6,41,"32,679",$9.42M,A small town's women give birth to unfriendly alien children posing as humans.,John Carpenter,"['Christopher Reeve', 'Kirstie Alley', 'Linda Kozlowski', 'Michael Paré']"
24,The Perfect Score,2004,93,5.6,35,"25,538",$10.39M,Six high school seniors decide to break into the Princeton Testing Center so they can steal the answers to their upcoming SAT tests and all get perfect scores.,Brian Robbins,"['Scarlett Johansson', 'Erika Christensen', 'Chris Evans', 'Leonardo Nam']"
25,Exit Wounds,2001,101,5.6,39,"35,890",$51.76M,"Orin Boyd, a tough cop in an inner-city precinct discovers a web of dirty cops and corruption.",Andrzej Bartkowiak,"['Steven Seagal', 'DMX', 'Isaiah Washington', 'Anthony Anderson']"
26,A Nightmare on Elm Street 4: The Dream Master,1988,93,5.6,56,"57,541",$49.37M,"Freddy Krueger returns once again to terrorize the dreams of the remaining Dream Warriors, as well as those of a young woman who may be able to defeat him for good.",Renny Harlin,"['Robert Englund', 'Rodney Eastman', 'John Beckman', 'Kisha Brackel']"
27,The Big Wedding,2013,90,5.6,28,"50,433",$21.78M,A long-divorced couple fakes being married as their family unites for a wedding.,Justin Zackham,"['Robert De Niro', 'Diane Keaton', 'Katherine Heigl', 'Amanda Seyfried']"
28,Jeepers Creepers 2,2003,106,5.6,36,"66,691",$35.67M,"Set a few days after the original, a championship basketball team's bus is attacked by The Creeper, the winged, flesh-eating terror, on the last day of his 23-day feeding frenzy.",Victor Salva,"['Jonathan Breck', 'Ray Wise', 'Nicki Aycox', 'Garikayi Mutambirwa']"
29,Hatchet,2006,93,5.6,57,"31,824",$0.16M,"When a group of tourists in a New Orleans haunted swamp tour find themselves stranded in the wilderness, their evening of fun and spooks turns into a horrific nightmare.",Adam Green,"['Kane Hodder', 'Joel David Moore', 'Deon Richmond', 'Amara Zaragoza']"
30,Survivor,I 2015,96,5.6,28,"34,349",*****,"A Foreign Service Officer in London tries to prevent a terrorist attack set to hit New York City, but is forced to go on the run when she is framed for crimes she did not commit.",James McTeigue,"['Milla Jovovich', 'Pierce Brosnan', 'Dylan McDermott', 'Paddy Wallace']"
31,Bringing Down the House,2003,105,5.6,39,"37,928",$132.72M,"When a lonely guy meets a woman on the internet who happens to be in prison, she breaks out to get him to prove her innocence, and proceeds to wreak havoc on his middle-class life.",Adam Shankman,"['Steve Martin', 'Queen Latifah', 'Eugene Levy', 'Joan Plowright']"
32,Chain Reaction,1996,107,5.6,43,"53,320",$20.55M,Two researchers in a green alternative energy project are put on the run when they are framed for murder and treason.,Andrew Davis,"['Keanu Reeves', 'Morgan Freeman', 'Rachel Weisz', 'Fred Ward']"
33,Night School,2018,111,5.6,43,"41,764",$77.34M,A group of high school dropouts is forced to attend night school in hopes that they will pass the GED exam to finish high school.,Malcolm D. Lee,"['Kevin Hart', 'Tiffany Haddish', 'Rob Riggle', 'Romany Malco']"
34,"You, Me and Dupree",2006,110,5.6,46,"82,256",$75.63M,"A best man (Wilson) stays on as a houseguest with the newlyweds, much to the couple's annoyance.","Directors:Anthony Russo, Joe Russo","['Kate Hudson', 'Owen Wilson', 'Matt Dillon', 'Michael Douglas']"
35,Creep,I 2004,85,5.6,^^^^^^,"30,440",*****,"Trapped in a London subway station, a woman who's being pursued by a potential attacker heads into the unknown labyrinth of tunnels beneath the city's streets.",Christopher Smith,"['Franka Potente', 'Sean Harris', 'Vas Blackwood', 'Ken Campbell']"
36,MacGruber,2010,90,5.6,43,"46,007",$8.46M,"Former special operative MacGruber is called back into action to take down his arch-enemy, Dieter Von Cunth, who's in possession of a nuclear warhead and bent on destroying Washington, D.C.",Jorma Taccone,"['Will Forte', 'Kristen Wiig', 'Val Kilmer', 'Ryan Phillippe']"
37,Brick Mansions,2014,90,5.6,40,"42,933",$20.29M,An undercover Detroit cop navigates a dangerous neighborhood that's surrounded by a containment wall with the help of an ex-con in order to bring down a crime lord and his plot to devastate the entire city.,Camille Delamarre,"['Paul Walker', 'David Belle', 'RZA', 'Goûchy Boy']"
38,Kicking & Screaming,2005,95,5.6,45,"38,927",$52.58M,"Family man Phil Weston, a lifelong victim of his father's competitive nature, takes on the coaching duties of a kids' soccer team, and soon finds that he's also taking on his father's dysfunctional way of relating.",Jesse Dylan,"['Will Ferrell', 'Robert Duvall', 'Josh Hutcherson', 'Mike Ditka']"
39,The Hitcher,2007,84,5.6,28,"43,925",$16.47M,a couple from college get caught in a dangerous game of cat and mouse with a psychopathic hitchhiker and the police after witnessing a murder and being framed,Dave Meyers,"['Sean Bean', 'Sophia Bush', 'Zachary Knighton', 'Neal McDonough']"
40,Bad Santa 2,2016,92,5.6,38,"26,829",$17.78M,"Fueled by cheap whiskey, greed and hatred, Willie teams up once again with his angry little sidekick, Marcus, to knock off a Chicago charity on Christmas Eve.",Mark Waters,"['Billy Bob Thornton', 'Kathy Bates', 'Tony Cox', 'Christina Hendricks']"
41,Sleepless,III 2017,95,5.6,34,"33,028",$20.78M,A cop with a connection to the criminal underworld scours a nightclub in search of his kidnapped son.,Baran bo Odar,"['Jamie Foxx', 'Michelle Monaghan', 'Dermot Mulroney', 'Gabrielle Union']"
42,The Quest,1996,95,5.6,^^^^^^,"26,677",$21.60M,"A group of gentlemen of fortune visits a legendary ""Lost City"", located in Tibet. They plan to steal a priceless statue ""Golden Dragon"" during the martial arts tournament.",Jean-Claude Van Damme,"['Jean-Claude Van Damme', 'Roger Moore', 'James Remar', 'Janet Gunn']"
43,Love Happens,2009,109,5.6,33,"33,316",$22.93M,"A widower whose book about coping with loss turns him into a best-selling self-help guru, falls for the hotel florist where his seminar is given, only to learn that he hasn't yet truly confronted his wife's passing.",Brandon Camp,"['Jennifer Aniston', 'Aaron Eckhart', 'Dan Fogler', 'John Carroll Lynch']"
44,The Skulls,2000,106,5.6,24,"32,764",$35.05M,"A senior at an ivy league college, who depends on scholarships and working on the side, gets accepted into the secret society The Skulls. He hopes it betters chances at Harvard but The Skulls is not what he thought and comes at a price.",Rob Cohen,"['Joshua Jackson', 'Paul Walker', 'Hill Harper', 'Leslie Bibb']"
45,12 Rounds,2009,108,5.6,38,"29,442",$12.23M,"Detective Danny Fisher discovers his girlfriend has been kidnapped by an ex-con tied to Fisher's past, and he'll have to successfully complete 12 challenges in order to secure her safe release.",Renny Harlin,"['John Cena', 'Ashley Scott', 'Aidan Gillen', 'Steve Harris']"
46,Bad Company,2002,116,5.6,37,"48,603",$30.16M,"When an Ivy League-educated C.I.A. Agent is killed during an operation, the secret agency recruits his twin brother (Chris Rock).",Joel Schumacher,"['Anthony Hopkins', 'Chris Rock', 'Matthew Marsh', 'Gabriel Macht']"
47,Fred Claus,2007,116,5.6,42,"45,421",$72.01M,"Fred Claus, Santa's bitter older brother, is forced to move to the North Pole to help Santa and the elves prepare for Christmas in exchange for cash.",David Dobkin,"['Vince Vaughn', 'Paul Giamatti', 'Elizabeth Banks', 'John Michael Higgins']"
48,What Just Happened,2008,104,5.6,^^^^^^,"27,826",$1.09M,Two weeks in the life of a fading Hollywood producer who's having a rough time trying to get his new picture made.,Barry Levinson,"['Robert De Niro', 'John Turturro', 'Stanley Tucci', 'Sean Penn']"
49,Cube Zero,2004,97,5.6,^^^^^^,"41,027",*****,A young programmer whose job is to watch over the reality-warping Cube defies orders to rescue an innocent mother trapped in one of its rooms.,Ernie Barbarash,"['Zachary Bennett', 'Stephanie Moore', 'Martin Roach', 'Michael Riley']"
0,Fire with Fire,II 2012,97,5.6,^^^^^^,"26,909",*****,"A fireman takes an unexpected course of action when a man whom he's been ordered to testify against, after being held up at a local convenience store, threatens him.",David Barrett,"['Josh Duhamel', 'Bruce Willis', 'Rosario Dawson', ""Vincent D'Onofrio""]"
1,The Contract,2006,96,5.6,^^^^^^,"25,351",*****,"A father and his son attempt to bring in an assassin to the authorities, but his dangerous associates have other plans.",Bruce Beresford,"['John Cusack', 'Morgan Freeman', 'Jamie Anderson', 'Alice Krige']"
2,Autumn in New York,2000,103,5.6,24,"27,089",$37.75M,"Romantic drama about an aging playboy who falls for a sweet, but terminally ill, young woman.",Joan Chen,"['Richard Gere', 'Winona Ryder', 'Anthony LaPaglia', 'Elaine Stritch']"
3,Domestic Disturbance,2001,89,5.6,29,"27,820",$45.25M,"When Danny witnesses his stepfather Rick murder a man, Danny's father Frank has to protect his son from the greatest danger.",Harold Becker,"['John Travolta', 'Nick Loren', ""Matt O'Leary"", 'Ruben Santiago-Hudson']"
4,The Reaping,2007,99,5.6,36,"43,689",$25.12M,"A former Christian missionary, who specializes in debunking religious phenomena, investigates a small town which seems to be suffering from the 10 biblical plagues.",Stephen Hopkins,"['Hilary Swank', 'David Morrissey', 'AnnaSophia Robb', 'Idris Elba']"
5,"67th Street, New York, NY",2011,105,5.6,^^^^^^,"34,883",*****,"A rookie detective Dylan Williams, hunt a serial killer who has a very twisted modus operandi.",Enzo Zelocchi,"['Enzo Zelocchi', 'David Man', 'Ladae Bond', 'Casey Cadag']"
6,Blonde,2022,167,5.5,50,"56,707",*****,"The story of American actress Marilyn Monroe, covering her love and professional lives.",Andrew Dominik,"['Ana de Armas', 'Lily Fisher', 'Julianne Nicholson', 'Tygh Runyan']"
7,Baywatch,2017,116,5.5,37,"1,89,770",$58.06M,"Devoted lifeguard Mitch Buchannon butts heads with a brash new recruit, as they uncover a criminal plot that threatens the future of the bay.",Seth Gordon,"['Dwayne Johnson', 'Zac Efron', 'Alexandra Daddario', 'Priyanka Chopra Jonas']"
8,That's My Boy,2012,116,5.5,31,"1,02,481",$36.93M,"While in his teens, Donny fathered a son, Todd, and raised him as a single parent until Todd's 18th birthday. Now Donny resurfaces just before Todd's wedding after years apart, sending the groom-to-be's world crashing down.",Sean Anders,"['Adam Sandler', 'Andy Samberg', 'Leighton Meester', 'Susan Sarandon']"
9,Couples Retreat,2009,113,5.5,23,"1,10,184",$109.21M,"A comedy centered around four couples who settle into a tropical-island resort for a vacation. While one of the couples is there to work on the marriage, the others fail to realize that participation in the resort's therapy sessions is not optional.",Peter Billingsley,"['Vince Vaughn', 'Malin Akerman', 'Jon Favreau', 'Jason Bateman']"
10,George of the Jungle,1997,92,5.5,53,"79,901",$105.26M,A man raised in the jungle by apes falls in love with a wealthy American heiress.,Sam Weisman,"['Brendan Fraser', 'Leslie Mann', 'Thomas Haden Church', 'Richard Roundtree']"
11,The Stepfather,2009,101,5.5,33,"35,931",$29.06M,"Michael Harding (Penn Badgely) returns home from military school to find his mother Susan (Sela Ward) happily in love and living with her new boyfriend David (Dylan Walsh). As the two men get to know each other, he becomes more and more suspicious of the man who is always there to help.",Nelson McCormick,"['Penn Badgley', 'Dylan Walsh', 'Sela Ward', 'Amber Heard']"
12,The Twilight Saga: Breaking Dawn - Part 2,2012,115,5.5,52,"2,51,783",$292.30M,"After the birth of Renesmee/Nessie, the Cullens gather other vampire clans in order to protect the child from a false allegation that puts the family in front of the Volturi.",Bill Condon,"['Kristen Stewart', 'Robert Pattinson', 'Taylor Lautner', 'Peter Facinelli']"
13,Piranha 3D,2010,88,5.5,53,"92,798",$25.00M,"After a sudden underwater tremor sets free scores of the prehistoric man-eating fish, an unlikely group of strangers must band together to stop themselves from becoming fish food for the area's new razor-toothed residents.",Alexandre Aja,"['Elisabeth Shue', ""Jerry O'Connell"", 'Richard Dreyfuss', 'Ving Rhames']"
14,The 355,2022,122,5.5,40,"31,002",*****,"When a top-secret weapon falls into mercenary hands, a wild-card C.I.A. agent joins forces with three international agents on a mission to retrieve it, while staying a step ahead of a mysterious woman who's tracking their every move.",Simon Kinberg,"['Jessica Chastain', 'Penélope Cruz', 'Bingbing Fan', 'Diane Kruger']"
15,Friday the 13th,2009,97,5.5,34,"1,10,164",$65.00M,A group of young adults visit a boarded up campsite named Crystal Lake where they soon encounter the mysterious Jason Voorhees and his deadly intentions.,Marcus Nispel,"['Jared Padalecki', 'Amanda Righetti', 'Derek Mears', 'Danielle Panabaker']"
16,Wrong Turn,2021,109,5.5,46,"32,197",*****,"Friends hiking the Appalachian Trail are confronted by 'The Foundation', a community of people who have lived in the mountains for hundreds of years.",Mike P. Nelson,"['Charlotte Vega', 'Adain Bradley', 'Bill Sage', 'Emma Dumont']"
17,The Hot Chick,2002,104,5.5,29,"97,592",$35.08M,"An attractive and popular teenager, who is mean-spirited toward others, finds herself in the body of an older man, and must find a way to get back to her original body.",Tom Brady,"['Rob Schneider', 'Rachel McAdams', 'Anna Faris', 'Matthew Lawrence']"
18,The Cloverfield Paradox,2018,102,5.5,37,"1,07,045",*****,"Orbiting a planet on the brink of war, scientists test a device to solve an energy crisis, and end up face-to-face with a dark alternate reality.",Julius Onah,"['Gugu Mbatha-Raw', 'David Oyelowo', 'Daniel Brühl', 'John Ortiz']"
19,The Scorpion King,2002,92,5.5,45,"1,40,424",$91.05M,"A desert warrior rises up against the evil army that is destroying his homeland. He captures the enemy's key sorcerer, takes her deep into the desert and prepares for a final showdown.",Chuck Russell,"['Dwayne Johnson', 'Steven Brand', 'Michael Clarke Duncan', 'Kelly Hu']"
20,Laal Singh Chaddha,2022,159,5.5,46,"1,74,073",*****,"Laal Singh Chaddha, a simple man whose extraordinary journey will fill you with love, warmth, happiness and will also make you laugh.",Advait Chandan,"['Aamir Khan', 'Ahmad Ibn Umar', 'Kareena Kapoor', 'Hafsa Ashraf']"
21,Willy's Wonderland,2021,88,5.5,44,"30,766",*****,"A quiet drifter is tricked into a janitorial job at the now condemned Willy's Wonderland. The mundane tasks suddenly become an all-out fight for survival against wave after wave of demonic animatronics. Fists fly, kicks land, titans clash -- and only one side will make it out alive.",Kevin Lewis,"['Nicolas Cage', 'Emily Tosta', 'Beth Grant', 'Ric Reitz']"
22,Senior Year,2022,111,5.5,47,"38,909",*****,"A cheerleading stunt gone wrong landed her in a 20-year coma. Now she's 37, newly awake and ready to live out her high school dream: becoming prom queen.",Alex Hardcastle,"['Rebel Wilson', 'Angourie Rice', 'Mary Holland', 'Molly Brown']"
23,Green Lantern,2011,114,5.5,39,"2,87,611",$116.60M,"Reckless test pilot Hal Jordan is granted an alien ring that bestows him with otherworldly powers that inducts him into an intergalactic police force, the Green Lantern Corps.",Martin Campbell,"['Ryan Reynolds', 'Blake Lively', 'Peter Sarsgaard', 'Mark Strong']"
24,Lady in the Water,2006,110,5.5,36,"1,00,751",$42.29M,"Apartment building superintendent Cleveland Heep rescues what he thinks is a young woman from the pool he maintains. When he discovers that she is actually a character from a bedtime story who is trying to make the journey back to her home, he works with his tenants to protect his new friend from the creatures that are determined to keep her in our world.",M. Night Shyamalan,"['Paul Giamatti', 'Bryce Dallas Howard', 'Jeffrey Wright', 'Bob Balaban']"
25,Halloween Kills,2021,105,5.5,42,"88,194",*****,Surviving victims of Michael Myers form a vigilante mob and vow to end his reign of terror.,David Gordon Green,"['Jamie Lee Curtis', 'Judy Greer', 'Andi Matichak', 'James Jude Courtney']"
26,Your Highness,2011,102,5.5,31,"1,02,049",$21.60M,"When Prince Fabious's bride is kidnapped, he goes on a quest to rescue her... accompanied by his lazy useless brother Thadeous.",David Gordon Green,"['Danny McBride', 'Natalie Portman', 'James Franco', 'Rasmus Hardiker']"
27,The Core,2003,135,5.5,48,"1,02,449",$31.19M,The only way to save Earth from catastrophe is to drill down to the core and set it spinning again.,Jon Amiel,"['Aaron Eckhart', 'Hilary Swank', 'Delroy Lindo', 'Bruce Greenwood']"
